,claimID,claim,label,claimURL,reason,categories,speaker,checker,tags,articleTitle,publishDate,claimDate,entities
0,tron-03585,Edward C. Smith: In Defense of Robert E. Lee Commentary,authorship confirmed!,https://www.truthorfiction.com/edward-c-smith-defense-robert-e-lee/,None,war,None,None,"['abraham lincoln', 'civil war', 'confederacy', 'robert e. lee']",Edward C. Smith: In Defense of Robert E. Lee Commentary,"Aug 24, 2017",None,['None']
1,tron-02918,Dropping the Hammer on James Comey,commentary!,https://www.truthorfiction.com/dropping-hammer-comey/,None,politics,None,None,"['clinton foundation', 'fbi', 'hillary clinton', 'james comey']",Dropping the Hammer on James Comey,"May 23, 2017",None,['None']
2,tron-00773,Bob Lonsberry on Two Americas,confirmed authorship!,https://www.truthorfiction.com/bob-lonsberry-two-americas/,None,celebrities,None,None,None,Bob Lonsberry on Two Americas,"Mar 17, 2015",None,['None']
3,tron-00632,"James Woods “Insanity” Quote about Democrats, Transgender Issues",correct attribution!,https://www.truthorfiction.com/james-woods-insanity-quote-democrats-transgender-issues/,None,celebrities,None,None,None,"James Woods “Insanity” Quote about Democrats, Transgender Issues","Apr 29, 2016",None,['None']
4,tron-02126,Cassie Bernall Said “Yes” When Asked about her faith by a shooter at Columbine,disputed!,https://www.truthorfiction.com/cassie/,None,inspirational,None,None,None,Cassie Bernall Said “Yes” When Asked about her faith by a shooter at Columbine,"Mar 16, 2015",None,['None']
5,tron-00179,U.S. Marines Defending Embassy in Egypt Without Ammunition,fiction!,https://www.truthorfiction.com/usmc-no-ammo/,None,9-11-attack,None,None,None,U.S. Marines Defending Embassy in Egypt Without Ammunition,"Mar 17, 2015",None,"['Egypt', 'United_States']"
6,tron-00490,The Cliff Diver and Great White Shark,fiction!,https://www.truthorfiction.com/cliff-diver-shark-video/,None,animals,None,None,None,The Cliff Diver and Great White Shark,"Mar 17, 2015",None,['None']
7,tron-02829,Senator Barack Obama is a Moslem,fiction!,https://www.truthorfiction.com/obama/,None,obama,None,None,None,Senator Barack Obama is a Moslem,"Mar 17, 2015",None,['None']
8,tron-02881,MADD-sponsored email petition for the president of the U.S.,fiction!,https://www.truthorfiction.com/madd/,None,pleas,None,None,None,MADD-sponsored email petition for the president of the U.S.,"Mar 16, 2015",None,['United_States']
9,tron-00787,NBC Refusing to Promote Jamie Foxx Special?,fiction!,https://www.truthorfiction.com/jamie-foxx/,None,celebrities,None,None,None,NBC Refusing to Promote Jamie Foxx Special?,"Mar 17, 2015",None,['None']
10,tron-00642,Tom Hanks’ Father a Member of The Diamonds,fiction!,https://www.truthorfiction.com/tom-hanks-father-a-member-of-the-diamonds/,None,celebrities,None,None,None,Tom Hanks’ Father a Member of The Diamonds,"Feb 5, 2016",None,['None']
11,tron-02584,George Washington Statue Covered to Prevent Martin Luther King Celebrants From Being Offended,fiction!,https://www.truthorfiction.com/naacp-washington-statue/,None,miscellaneous,None,None,None,George Washington Statue Covered to Prevent Martin Luther King Celebrants From Being Offended,"Mar 17, 2015",None,['None']
12,tron-01430,The Government is banning organic Farming,fiction!,https://www.truthorfiction.com/hr875organicban/,None,food,None,None,None,The Government is banning organic Farming,"Mar 17, 2015",None,['None']
13,tron-00522,House Democrats Draft Bill Making Eating at Chick-fil-A a Hate Crime,fiction!,https://www.truthorfiction.com/house-democrats-chick-fil-a-hate-crime/,None,business,None,None,"['christianity', 'congress', 'liberal agenda', 'religion']",House Democrats Draft Bill Making Eating at Chick-fil-A a Hate Crime,"Jun 13, 2018",None,['None']
14,tron-02747,President Obama Dismantling Statue of Liberty,fiction!,https://www.truthorfiction.com/president-obama-dismantling-statue-liberty/,None,obama,None,None,None,President Obama Dismantling Statue of Liberty,"Jul 6, 2016",None,['None']
15,tron-02725,President Trump Sent Michelle Obama a Bill She’ll Never Repay,fiction!,https://www.truthorfiction.com/president-trump-sent-michelle-obama-bill/,None,obama,None,None,"['donald trump', 'government waste', 'michelle obama']",President Trump Sent Michelle Obama a Bill She’ll Never Repay,"May 5, 2017",None,['None']
16,tron-01390,The restaurant steak contaminated by urine,fiction!,https://www.truthorfiction.com/urine-steak/,None,food,None,None,None,The restaurant steak contaminated by urine,"Mar 17, 2015",None,['None']
17,tron-00709,John Denver an Army Sniper?,fiction!,https://www.truthorfiction.com/denver-sniper/,None,celebrities,None,None,None,John Denver an Army Sniper? – Fiction!,"Mar 17, 2015",None,['None']
18,tron-02033,Parasites infesting the breast from new bras,fiction!,https://www.truthorfiction.com/infestedbreast/,None,insects,None,None,None,Parasites infesting the breast from new bras,"Mar 17, 2015",None,['None']
19,tron-00369,Photo Shows Interior Secretary Ryan Zinke Posing With Dead Elephant,fiction!,https://www.truthorfiction.com/photo-shows-interior-secretary-ryan-zinke-posing-dead-elephant/,None,animals,None,None,"['africa', 'animals', 'donald trump']",Photo Shows Interior Secretary Ryan Zinke Posing With Dead Elephant,"Nov 27, 2017",None,['None']
20,tron-00639,Nike Wouldn’t Let Steph Curry Put Bible Passage on Shoes,fiction!,https://www.truthorfiction.com/nike-wouldnt-let-steph-curry-put-bible-passage-shoes/,None,celebrities,None,None,None,Nike Wouldn’t Let Steph Curry Put Bible Passage on Shoes,"Mar 2, 2016",None,['None']
